Date,Account,Category,Description,Debit,Credit,Balance
2026-01-05,1001,Revenue,Product Sales Q1,0,125000.00,125000.00
2026-01-10,2001,COGS,Raw Materials Purchase,45000.00,0,80000.00
2026-01-15,3001,Operating Expense,Office Rent - January,8500.00,0,71500.00
2026-01-20,3002,Operating Expense,Employee Salaries - January,52000.00,0,19500.00
2026-01-25,3003,Operating Expense,Utilities - January,2200.00,0,17300.00
2026-02-05,1001,Revenue,Product Sales Feb,0,98000.00,115300.00
2026-02-10,2001,COGS,Raw Materials Purchase,38000.00,0,77300.00
2026-02-12,3004,Operating Expense,Marketing Campaign,15000.00,0,62300.00
2026-02-15,3001,Operating Expense,Office Rent - February,8500.00,0,53800.00
2026-02-20,3002,Operating Expense,Employee Salaries - February,52000.00,0,1800.00
2026-02-25,3003,Operating Expense,Utilities - February,2100.00,0,-300.00
2026-03-05,1001,Revenue,Product Sales Mar,0,142000.00,141700.00
2026-03-08,1002,Revenue,Consulting Services,0,35000.00,176700.00
2026-03-10,2001,COGS,Raw Materials Purchase,52000.00,0,124700.00
2026-03-12,3005,Operating Expense,Software Licenses,4800.00,0,119900.00
2026-03-15,3001,Operating Expense,Office Rent - March,8500.00,0,111400.00
2026-03-18,3006,Operating Expense,Travel & Entertainment,6200.00,0,105200.00
2026-03-20,3002,Operating Expense,Employee Salaries - March,52000.00,0,53200.00
2026-03-25,3003,Operating Expense,Utilities - March,2400.00,0,50800.00
2026-03-30,4001,Other Income,Interest Income,0,1200.00,52000.00
